Source:,http://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Search Records.csv,,,,,,,,,,,,,,,,
Hazard ID,File ID,Archived Record Key,LUST Event ID,CS or LUST,Site Name,Address,City,Borough,State,Zip Code,Status,Staff,Landowner,Site Type,Latitude,Longitude,Horizontal Datum
24239,2100.26.036.19,1.99121E+12,1419,LUST,Lake Hood Tie Down 808,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Michael J. Yorke,Airport/Airfield,61.182912,-149.964684,
24253,2100.26.036.19,1.99221E+12,1429,LUST,Lake Hood Tie Down 8,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Robert M. Piatt Sr.,Airport/Airfield,61.183947,-149.967861,
24289,100.26.037,1.99131E+12,1006,LUST,FIA - Wright Air Service,"3842 University Ave. S.; FIA, East Ramp Block 100, Lot 10A",Fairbanks,Fairbanks North Star,AK,99709,Cleanup Complete, No Longer Assigned,"Wright Air Service, Inc.",Airport/Airfield,64.80936,-147.8502,
24312,2100.26.036.19,1.99221E+12,1441,LUST,Lake Hood Tie Down 53,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,C. D. Anderson,Airport/Airfield,61.185871,-149.97072,
24314,2100.26.036.19,1.99221E+12,1445,LUST,Lake Hood Tie Down 70,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Jay C. Mueller & Alfred Bennett,Airport/Airfield,61.184626,-149.975628,
24330,2100.26.036.19,1.99221E+12,1451,LUST,Lake Hood Tie Down 83,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Richard E. Betz,Airport/Airfield,61.179063,-149.973285,
24331,2100.26.036.18,1.99221E+12,1453,LUST,Lake Hood Tie Down 87,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,"Bush Pilots Air Services, Inc.",Airport/Airfield,61.179364,-149.97214,
24333,2100.26.036.19,1.99221E+12,1457,LUST,Lake Hood Tie Down 100,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Paul K. Skoglund,Airport/Airfield,61.177791,-149.953123,
24337,890.38.014,1.99231E+12,1043,LUST,FAA Bettles UST# 46-C-102A,Bettles Airport,Bettles,Yukon Koyukuk,AK,99726,Cleanup Complete, No Longer Assigned,Federal Aviation Administration,Airport/Airfield,66.90693,-151.6831,
24372,2100.26.036.19,1.99121E+12,1408,LUST,Lake Hood Tie Down 606,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Tim Baxter,Airport/Airfield,61.182206,-149.96095,
24375,2100.26.036.19,1.99121E+12,1410,LUST,Lake Hood Tie Down 704,Lake Hood,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Irene K. Ballman,Airport/Airfield,61.182288,-149.962952,
